								  t1  t2  t3
their                             2   3   2   
them                              0   5   3   
then                              1   1   2   
there                             5   6   5   
these                             1   2   2   
they                              8   12  12  
thick                             0   1   0   
thin                              0   0   1   
thing                             1   0   0   
things                            0   1   1   
think                             0   0   2   
thinking                          0   0   1   
this                              3   3   3   
though                            0   1   1   
thought                           1   0   2   
three                             0   1   0   
throwing                          0   0   1   
tie                               0   0   1   
tiled                             0   1   0   
till                              1   0   0   
time                              2   1   1   
to                                15  14  14  
toes                              0   1   0   
together                          0   0   1   
tongues                           1   0   0   
too                               1   0   1   
took                              1   5   0   
tooks                             0   1   0   
topic                             1   0   0   
toward                            0   0   1   
town                              0   0   2   
traffic                           0   0   2   
travelled                         1   0   0   
travels                           1   0   0   
treasure                          1   0   0   
trick                             0   0   1   
tried                             0   0   1   
trouble                           3   0   0   
truth                             1   0   0   
tuesday                           0   0   1   
tunnel                            0   3   0   
tunnels                           1   0   0   
tweens                            1   0   0   
twelve                            1   0   0   
twenties                          1   0   0   
twice                             0   1   1   
twofoot                           1   0   0   
tyke                              0   0   1   
unchanged                         1   0   0   
under                             0   1   0   
understood                        1   0   0   
undoubtedly                       0   1   0   
undursleyish                      0   0   1   
unexpected                        1   3   0   
unfair                            1   0   0   
unimportant                       1   0   0   
until                             1   2   1   
up                                1   2   3   
upon                              1   0   0   
upstairs                          0   1   0   
us                                0   1   0   
useful                            0   0   1   
usual                             0   0   2   
vegetables                        1   0   0   
very                              8   4   4   
vigour                            1   0   0   
visiting                          1   0   0   
visitors                          0   1   0   
voices                            1   0   0   
wag                               1   0   0   
waited                            0   1   0   
walk                              0   0   1   
walls                             0   1   1   
want                              0   0   1   
wanted                            0   0   1   
wardrobes                         0   1   0   
warm                              0   1   0   
was                               24  14  20  
watched                           0   0   1   
water                             0   2   0   
we                                1   0   0   
wealth                            1   0   0   
wear                              0   1   0   
wearing                           0   0   1   
weirdos                           0   0   1   
welcome                           1   0   0   
well                              1   1   0   
were                              5   8   8   
wet                               0   1   0   
what                              1   3   3   
whatever                          1   0   0   
wheel                             0   0   1   
when                              2   3   2   
where                             1   0   0   
whether                           0   1   0   
which                             0   5   2   
while                             0   1   0   
whispering                        0   0   1   
who                               0   1   1   
whole                             0   1   0   
why                               1   0   1   
wife                              1   1   0   
will                              2   1   0   
willing                           1   0   0   
window                            0   0   2   
windows                           0   2   0   
wish                              1   0   0   
with                              9   7   4   
without                           0   2   0   
woke                              0   0   1   
wonder                            3   0   0   
wooden                            0   1   0   
woolly                            0   1   0   
wore                              1   0   0   
work                              0   0   1   
world                             0   1   0   
worms                             0   1   0   
would                             2   3   4   
wound                             0   1   0   
wrestled                          0   0   1   
wrong                             1   0   0   
year                              1   0   0   
years                             3   1   1   
yelled                            0   0   1   
yellow                            0   2   0   
yes                               0   0   1   
yet                               0   1   0   
you                               1   7   3   
young                             2   0   2   
younger                           1   0   0   
youngest                          1   0   0   
youth                             1   0   0   
