								  t1  t2  t3
and floors                        0   1   0   
and found                         0   1   0   
and frodo                         3   0   0   
and gazed                         0   0   1   
and had                           2   0   1   
and have                          0   1   0   
and he                            2   0   0   
and her                           0   0   1   
and his                           1   1   1   
and i                             0   1   0   
and if                            1   0   0   
and in                            1   0   1   
and indeed                        0   1   0   
and it                            1   0   0   
and laugh                         0   1   0   
and live                          1   0   0   
and living                        0   1   0   
and lots                          0   2   0   
and many                          0   1   0   
and me                            0   1   0   
and meadows                       0   1   0   
and more                          0   1   0   
and mysterious                    0   0   1   
and on                            0   1   0   
and once                          0   1   0   
and other                         1   0   0   
and partly                        0   1   0   
and people                        0   1   0   
and prosperous                    0   1   0   
and put                           0   0   1   
and quickly                       0   1   0   
and right                         1   0   0   
and rumour                        1   0   0   
and saying                        0   1   0   
and shouted                       0   0   1   
and shy                           0   1   0   
and smaller                       0   1   0   
and son                           1   0   0   
and stared                        0   0   1   
and stiff                         1   0   0   
and that                          1   1   0   
and the                           2   3   0   
and their                         0   0   1   
and then                          0   1   0   
and there                         0   1   0   
and they                          1   0   0   
and thick                         0   1   0   
and thought                       1   0   0   
and throwing                      0   0   1   
and tried                         0   0   1   
and trouble                       1   0   0   
and unexpected                    1   0   0   
and unimportant                   1   0   0   
and up                            0   0   1   
and very                          1   0   0   
and walk                          0   0   1   
and wearing                       0   0   1   
and yellow                        0   1   0   
announced that                    1   0   0   
another good                      0   0   1   
another no                        0   1   0   
any adventures                    0   2   0   
any baggins                       1   0   0   
any neck                          0   0   1   
any question                      0   1   0   
any sort                          0   1   0   
anyone found                      0   0   1   
anyone should                     1   0   0   
anything in                       0   1   0   
anything strange                  0   0   1   
anything unexpected               0   1   0   
anywhere the                      0   0   1   
apparently perpetual              1   0   0   
apparently settled                0   1   0   
are inclined                      0   1   0   
are or                            0   1   0   
are so                            1   0   0   
around the                        0   0   1   
around to                         0   0   1   
arrived in                        0   0   2   
arrived until                     0   1   0   
as all                            0   1   0   
as always                         1   0   0   
as at                             1   0   0   
as baggins                        1   0   0   
as dursley                        0   0   1   
as he                             0   0   4   
as his                            1   0   0   
as i                              0   1   0   
as it                             1   0   1   
as nice                           1   0   0   
as owl                            0   0   1   
as reputedly                      1   0   0   
as respectable                    0   1   0   
as she                            0   0   2   
as the                            3   1   0   
as they                           0   1   0   
as undursleyish                   0   0   1   
as well                           1   0   0   
as you                            1   0   0   
asked old                         1   0   0   
asking him                        0   1   0   
at all                            0   0   1   
at bag                            4   0   0   
at fifty                          1   0   0   
at five                           0   0   1   
at half                           0   0   1   
at his                            0   1   0   
at nighttime                      0   0   1   
at ninety                         1   0   0   
at that                           1   0   0   
at the                            1   1   3   
at they                           1   0   0   
at time                           1   0   0   
at twelve                         1   0   0   
attentive audience                1   0   0   
audience than                     1   0   0   
authority by                      1   0   0   
authority for                     1   0   0   
autumn bilbo                      1   0   0   
away happily                      0   0   1   
away there                        1   0   0   
away they                         0   0   1   
back as                           0   0   1   
back from                         1   0   0   
back on                           0   0   1   
back to                           0   0   1   
backed out                        0   0   1   
bad place                         1   0   0   
bag end                           6   0   0   
baggins a                         1   0   0   
baggins at                        1   0   0   
baggins became                    1   0   0   
baggins bungo                     0   1   0   
baggins had                       0   1   0   
baggins of                        2   0   0   
baggins that                      0   1   0   
baggins the                       0   1   0   
baggins there                     1   0   0   
baggins was                       1   2   0   
baggins when                      1   0   0   
baggins would                     0   1   0   
bagginses had                     1   1   0   
bagginses though                  0   1   0   
bagshot row                       1   0   0   
bare sandy                        0   1   0   
bathrooms cellars                 0   1   0   
be a                              1   0   1   
be an                             1   0   0   
be celebrating                    1   0   0   
be fat                            0   1   0   
be found                          0   1   0   
be happening                      0   0   1   
be involved                       0   0   1   
be it                             0   0   1   
be older                          0   0   1   
be paid                           1   0   0   
be prepared                       0   1   0   
be right                          1   0   0   
be that                           1   0   0   
be the                            0   0   1   
bear it                           0   0   1   
bear people                       0   0   1   
bearded dwarves                   0   1   0   
beards there                      0   1   0   
beats me                          1   0   0   
beautiful built                   0   1   0   
became bungo                      0   1   0   
became once                       1   0   0   
because dudley                    0   0   1   
because her                       0   0   1   
because most                      0   1   0   
because their                     0   1   0   
because they                      0   1   1   
become a                          1   0   0   
become rare                       0   1   0   
bedrooms bathrooms                0   1   0   
beefy man                         0   0   1   
been a                            0   0   1   
been nearer                       1   0   0   
been the                          1   0   0   
been thinking                     0   0   1   
before of                         1   0   0   
before that                       1   0   0   
began to                          3   0   0   
behaved exactly                   0   1   0   
being about                       0   1   0   
being planned                     1   0   0   
believed whatever                 1   0   0   
belladonna took                   0   2   0   
below bag                         1   0   0   
best rooms                        0   1   0   
better come                       1   0   0   
between childhood                 1   0   0   
beyond sloping                    0   1   0   
big beefy                         0   0   1   
big people                        0   1   0   
big river                         1   0   0   
bilbo and                         3   0   0   
bilbo as                          1   0   0   
bilbo baggins                     2   3   0   
bilbo her                         0   1   0   
bilbo one                         1   0   0   
bilbo was                         4   0   0   
birthday september                1   0   0   
birthday with                     1   0   0   
bit more                          0   0   1   
bit queer                         0   1   0   
blinked and                       0   0   1   
blonde and                        0   0   1   
blundering along                  0   1   0   
boats on                          1   0   0   
boring tie                        0   0   1   
both father                       1   0   0   
bother of                         0   1   0   
boy anywhere                      0   0   1   
boy was                           0   0   1   
brandybuck they                   1   0   0   
brandybucks of                    1   0   0   
brandywine river                  1   0   0   
brass knob                        0   1   0   
breakfast smoking                 0   1   0   
breed seemingly                   1   0   0   
briefcase pecked                  0   0   1   
bright colours                    0   1   0   
broad daylight                    0   0   1   
brought back                      1   0   0   
brought him                       1   0   0   
brown fingers                     0   1   0   
brown hair                        0   1   0   
brushed gandalf                   0   1   0   
buckland live                     1   0   0   
buckland where                    1   0   0   
built by                          0   1   0   
built the                         0   1   0   
bun from                          0   0   1   
bungo baggins                     0   1   0   
bungo that                        0   1   0   
bush a                            1   0   0   
but a                             1   0   0   
but also                          0   1   0   
but be                            1   0   0   
but certainly                     0   1   0   
but he                            1   1   0   
but hobbits                       1   0   0   
but it                            1   0   0   
but missed                        0   0   1   
but more                          1   0   0   
but not                           0   1   0   
but now                           1   0   0   
but on                            0   0   1   
but so                            1   0   0   
but the                           0   1   0   
but then                          0   0   1   
but there                         0   0   1   
but they                          0   0   3   
but unchanged                     1   0   0   
buy himself                       0   0   1   
by all                            1   0   0   
by gandalf                        0   1   0   
by his                            1   1   0   
by some                           0   1   0   
by something                      0   0   1   
by they                           0   0   1   
bywater and                       1   0   0   
bywater is                        1   0   0   
bywater road                      1   0   0   
call him                          1   0   0   
call us                           0   1   0   
called and                        0   1   0   
called dudley                     0   0   1   
called grunnings                  0   0   1   
called the                        1   0   0   
calling him                       1   0   0   
calls and                         0   0   1   
came by                           0   1   0   
came in                           0   0   1   
came of                           1   0   0   
can celebrate                     1   0   0   
can get                           0   1   0   
can hear                          0   1   0   
car and                           0   0   1   
carpeted provided                 0   1   0   
carried on                        1   0   0   
cat in                            0   0   1   
cat it                            0   0   1   
cat out                           0   0   1   
cat reading                       0   0   1   
cat standing                      0   0   1   
cats could                        0   0   1   
celebrate our                     1   0   0   
celebrating his                   1   0   0   
cellars pantries                  0   1   0   
cereal at                         0   0   1   
certainly there                   0   1   0   
chair none                        0   0   1   
chairs and                        0   1   0   
chance never                      0   1   0   
chance one                        0   1   0   
chance to                         0   1   0   
character of                      1   0   0   
cheek and                         0   0   1   
chief topic                       1   0   0   
chiefly green                     0   1   0   
child like                        0   0   1   
childhood and                     1   0   0   
chortled dursley                  0   0   1   
clever brown                      0   1   0   
cloak the                         0   0   1   
cloaks dursley                    0   0   1   
close by                          0   0   1   
close friends                     1   0   0   
clothes kitchens                  0   1   0   
clothes the                       0   0   1   
cloudy sky                        0   0   1   
collecting for                    0   0   1   
colours chiefly                   0   1   0   
combined at                       1   0   0   
come and                          2   0   0   
come blundering                   0   1   0   
come of                           1   0   0   
come out                          0   1   0   
comfort it                        0   1   0   
comfortable father                0   1   0   
comfortable tunnel                0   1   0   
comfortably at                    1   0   0   
coming event                      1   0   0   
coming of                         1   0   0   
commonly known                    1   0   0   
concentrate on                    0   0   1   
considered them                   0   1   0   
constantly upon                   1   0   0   
consulting him                    1   0   0   
conversation and                  1   0   0   
corner and                        0   0   1   
corner of                         0   0   2   
could bear                        0   0   2   
could he                          0   0   1   
could help                        0   0   1   
could read                        0   0   1   
could tell                        0   1   0   
could wish                        1   0   0   
country dursley                   0   0   1   
couple of                         0   0   1   
course absurd                     0   1   0   
course but                        1   0   0   
course the                        1   0   0   
cousins began                     1   0   0   
craning over                      0   0   1   
curious chance                    0   1   0   
curious number                    1   0   0   
curly have                        0   1   0   
dad said                          1   0   0   
daddy twofoot                     1   0   0   
dark bad                          1   0   0   
darker rumours                    1   0   0   
dashed bilbo                      1   0   0   
date of                           1   0   0   
daughters of                      0   1   0   
day but                           0   0   1   
day then                          1   0   0   
day when                          0   1   0   
daylight though                   0   0   1   
days still                        0   1   0   
decent respectable                1   0   0   
declared with                     1   0   0   
deep fruity                       0   1   0   
demand no                         1   0   0   
described for                     0   1   0   
description nowadays              0   1   0   
devoted admirers                  1   0   0   
devoted to                        0   1   0   
did anything                      0   1   0   
did have                          0   0   2   
did hold                          0   0   1   
did realize                       0   0   1   
did see                           0   0   1   
did they                          0   0   1   
did want                          0   0   1   
different people                  0   0   1   
dinner which                      0   1   0   
director of                       0   0   1   
dirty wet                         0   1   0   
disappear quietly                 0   1   0   
disappearance and                 1   0   0   
disappeared and                   0   1   0   
discover it                       0   0   1   
discreetly disappeared            0   1   0   
doing and                         0   1   0   
door after                        0   1   0   
door like                         0   1   0   
door opened                       0   1   0   
doors opened                      0   1   0   
down immovably                    0   1   0   
down in                           0   0   1   
down on                           0   1   0   
down to                           0   2   0   
dress in                          0   1   0   
dressed in                        0   0   1   
dressed people                    0   0   1   
drills dursley                    0   0   1   
drills he                         0   0   2   
drills that                       0   0   1   
drills were                       0   0   1   
drive but                         0   0   1   
drive it                          0   0   1   
drive no                          0   0   1   
drive were                        0   0   1   
driven out                        0   0   1   
drogo baggins                     1   0   0   
drove around                      0   0   1   
drove toward                      0   0   1   
drummed his                       0   0   1   
dry bare                          0   1   0   
dudley and                        0   0   1   
dudley but                        0   0   1   
dudley into                       0   0   1   
dudley mixing                     0   0   1   
dudley was                        0   0   1   
dull gray                         0   0   1   
dursley always                    0   0   1   
dursley arrived                   0   0   1   
dursley as                        0   0   1   
dursley blinked                   0   0   1   
dursley could                     0   0   1   
dursley did                       0   0   1   
dursley drove                     0   0   1   
dursley gave                      0   0   1   
dursley gossiped                  0   0   1   
dursley however                   0   0   1   
dursley hummed                    0   0   1   
dursley of                        0   0   1   
dursley on                        0   0   1   
dursley picked                    0   0   1   
dursley pretended                 0   0   1   
dursley sister                    0   0   1   
dursley that                      0   0   1   
dursley was                       0   0   3   
dursley woke                      0   0   1   
dursleys had                      0   0   2   
dursleys knew                     0   0   1   
dursleys shuddered                0   0   1   
dwarves hobbits                   0   1   0   
each year                         1   0   0   
eat it                            0   1   0   
edge of                           0   0   1   
edition of                        0   1   0   
effect on                         1   0   0   
eight dursley                     0   0   1   
either under                      0   1   0   
eldest of                         1   0   0   
elephants which                   0   1   0   
else as                           0   0   1   
end and                           1   0   0   
end announced                     1   0   0   
end but                           1   0   0   
end for                           1   0   0   
end of                            0   1   0   
end the                           0   1   0   
end very                          1   0   0   
end was                           1   0   0   
ends of                           0   1   0   
enormous long                     0   1   0   
enough for                        1   0   0   
enough to                         0   1   0   
enraged to                        0   0   1   
entirely hobbitlike               0   1   0   
especially after                  0   1   0   
especially potatoes               1   0   0   
even at                           0   0   1   
even seen                         0   0   1   
event travelled                   1   0   0   
ever had                          0   1   0   
ever since                        1   0   0   
everyday sort                     0   1   0   
everything they                   0   0   1   
exact middle                      0   1   0   
exactly like                      0   1   0   
except a                          0   0   1   
except of                         1   0   0   
except the                        0   1   0   
exceptional was                   1   0   0   
excitedly together                0   0   1   
excitement in                     1   0   0   
expect to                         0   0   1   
eyes fell                         0   0   1   
faces and                         0   1   0   
fact apparently                   0   1   0   
fact dursley                      0   0   1   
fact remained                     0   1   0   
fairly but                        0   1   0   
fairy wife                        0   1   0   
fame there                        1   0   0   
families but                      1   0   0   
families that                     0   1   0   
family history                    1   0   0   
family hushed                     0   1   0   
famous belladonna                 0   1   0   
far trouble                       1   0   0   
fashion he                        0   0   1   
fat in                            0   1   0   
father and                        1   0   0   
father built                      0   1   0   
father got                        0   1   0   
father was                        1   0   0   
father which                      0   1   0   
favourite was                     1   0   0   
fear was                          0   0   1   
feet grow                         0   1   0   
fell on                           0   0   1   
fences spying                     0   0   1   
few minutes                       0   0   1   
fifty at                          1   0   0   
fifty years                       0   1   0   
filled with                       0   1   0   
finally dashed                    1   0   0   
finer boy                         0   0   1   
fingers faces                     0   1   0   
fingers on                        0   0   1   
firm called                       0   0   1   
first on                          0   1   0   
first sign                        0   0   1   
five different                    0   0   1   
floor and                         0   1   0   
floor if                          0   0   1   
floors tiled                      0   1   0   
flutter past                      0   0   1   
folk like                         0   1   0   
folk might                        1   0   0   
folk suddenly                     1   0   0   
folks are                         1   0   0   
fond of                           0   1   0   
fool about                        1   0   0   
foot of                           0   1   0   
for a                             2   1   1   
for any                           0   1   0   
for bilbo                         1   0   0   
for fame                          1   0   0   
for family                        1   0   0   
for forty                         1   0   0   
for hats                          0   1   0   
for he                            1   0   0   
for her                           0   1   0   
for keeping                       0   0   1   
for many                          0   1   0   
for several                       0   0   1   
for sixty                         1   0   0   
for something                     0   0   1   
for that                          1   0   0   
for the                           0   1   0   
for these                         0   1   0   
for they                          1   0   0   
for time                          0   1   0   
for work                          0   0   1   
for you                           0   1   0   
forest a                          1   0   0   
forest but                        1   0   0   
forgive him                       1   0   0   
forth at                          1   0   0   
fortune he                        1   0   0   
forty years                       1   0   0   
found either                      0   1   0   
found himself                     0   1   0   
found it                          0   0   1   
found out                         0   0   1   
found their                       1   0   0   
four drive                        0   0   1   
four privet                       0   0   1   
friendly terms                    1   0   0   
friends until                     1   0   0   
frodo as                          1   0   0   
frodo baggins                     1   0   0   
frodo happened                    1   0   0   
frodo is                          1   0   0   
frodo my                          1   0   0   
frodo that                        1   0   0   
frodo they                        1   0   0   
frodo was                         2   0   0   
from his                          1   0   0   
from the                          0   1   1   
fruity laughs                     0   1   0   
full of                           1   0   0   
funny clothes                     0   0   1   
gaffer declared                   1   0   0   
gaffer he                         1   0   0   
gaffer that                       1   0   0   
gaffer was                        1   0   0   
gained anything                   0   1   0   
gamgee both                       1   0   0   
gamgee commonly                   1   0   0   
gandalf came                      0   1   0   
gandalf if                        0   1   0   
garden and                        0   1   0   
garden at                         1   0   0   
garden fences                     0   0   1   
gave himself                      0   0   1   
gazed mouthed                     0   0   1   
generous with                     1   0   0   
gentlehobbit is                   1   0   0   
get it                            0   1   0   
get that                          0   0   1   
getups you                        0   0   1   
given very                        1   0   0   
go and                            0   1   0   
go looking                        1   0   0   
go on                             0   1   0   
going fairly                      0   1   0   
going in                          0   1   0   
going to                          2   0   0   
going upstairs                    0   1   0   
good fortune                      1   0   0   
good mood                         0   0   1   
good reason                       0   0   1   
good thing                        1   0   0   
gossiped away                     0   0   1   
got into                          0   0   1   
got something                     0   1   0   
gray tuesday                      0   0   1   
greatest fear                     0   0   1   
green and                         0   2   0   
green with                        0   1   0   
ground there                      0   1   0   
grow natural                      0   1   0   
grow up                           1   0   0   
growing of                        1   0   0   
growing old                       1   0   0   
grown up                          0   1   0   
grunnings parking                 0   0   1   
grunnings which                   0   0   1   
had a                             1   1   4   
had an                            0   1   0   
had any                           0   2   0   
had been                          1   0   0   
had better                        1   0   0   
had brought                       1   0   0   
had everything                    0   0   1   
had given                         1   0   0   
had he                            0   0   1   
had heard                         1   1   0   
had helped                        1   0   0   
had in                            0   1   0   
had lived                         0   1   0   
had many                          1   0   0   
had met                           0   0   1   
had nearly                        0   0   1   
had never                         0   0   2   
had no                            1   0   0   
had not                           1   0   0   
had now                           1   0   0   
had only                          1   0   0   
had seen                          0   0   1   
had tended                        1   0   0   
had to                            0   0   1   
had whole                         0   1   0   
hair like                         0   1   0   
half a                            1   0   0   
half our                          0   1   0   
half past                         0   0   1   
half the                          1   0   0   
hall like                         0   1   0   
ham gamgee                        1   0   0   
happened to                       1   0   0   
happening all                     0   0   1   
happily as                        0   0   1   
harder to                         0   0   1   
hardly any                        0   0   1   
hats and                          0   1   0   
have a                            1   0   2   
have adventures                   0   1   0   
have become                       0   1   0   
have been                         1   0   2   
have found                        0   0   1   
have heard                        0   1   0   
have just                         0   1   0   
have little                       1   0   0   
have long                         0   1   0   
have lost                         0   1   0   
have no                           0   1   0   
have only                         0   1   0   
have taken                        0   1   0   
have the                          1   0   0   
have to                           1   0   0   
have twice                        0   1   0   
have windows                      0   1   0   
having a                          0   0   1   
he adopted                        1   0   0   
he could                          0   0   1   
he did                            0   0   2   
he drove                          0   0   1   
he drummed                        0   0   1   
he gained                         0   1   0   
he got                            0   0   1   
he had                            4   2   2   
he have                           0   0   1   
he held                           1   0   0   
he jerked                         0   0   1   
he left                           0   0   1   
he looked                         0   1   0   
he made                           0   0   1   
he may                            0   1   0   
he might                          0   0   1   
he noticed                        0   0   1   
he picked                         0   0   1   
he remained                       1   0   0   
he sat                            0   0   1   
he spoke                          1   0   0   
he stretch                        0   0   1   
he supposed                       0   0   1   
he thought                        0   0   2   
he was                            3   0   4   
he watched                        0   0   1   
he well                           0   1   0   
he would                          1   0   0   
he yelled                         0   0   1   
head around                       0   0   1   
head of                           0   1   0   
heads and                         1   0   0   
heads which                       0   1   0   
hear a                            0   1   0   
hear it                           1   0   0   
hear you                          0   1   0   
heard about                       0   1   0   
heard only                        0   1   0   
heard this                        1   0   0   
heard very                        0   1   0   
height and                        0   1   0   
heir and                          1   0   0   
held forth                        1   0   0   
help noticing                     0   0   1   
helped old                        1   0   0   
helps them                        0   1   0   
her and                           0   1   0   
her husband                       0   0   1   
her money                         0   1   0   
her only                          0   1   0   
her sister                        0   0   1   
her time                          0   0   1   
here frodo                        1   0   0   
high chair                        0   0   1   
hill as                           0   1   0   
hill at                           1   0   0   
hill for                          0   1   0   
hill it                           0   1   0   
hill itself                       1   0   0   
hill or                           0   2   0   
him and                           1   1   0   
him asked                         1   0   0   
him but                           1   0   1   
him calling                       1   0   0   
him constantly                    1   0   0   
him his                           1   0   0   
him this                          0   1   1   
him till                          1   0   0   
him to                            1   0   0   
himself a                         0   0   2   
himself doing                     0   1   0   
himself growing                   1   0   0   
himself had                       1   0   0   
himself what                      1   0   0   
his back                          0   0   1   
his birthday                      1   0   0   
his briefcase                     0   0   1   
his car                           0   0   1   
his cereal                        0   0   1   
his door                          0   1   0   
his eyes                          0   0   1   
his father                        1   1   0   
his fingers                       0   0   1   
his from                          0   1   0   
his garden                        0   1   0   
his good                          1   0   0   
his head                          0   0   1   
his heir                          1   0   0   
his high                          0   0   1   
his legs                          0   0   1   
his mind                          0   0   3   
his mirror                        0   0   1   
his money                         1   0   0   
his most                          0   0   1   
his name                          1   1   0   
his oddities                      1   0   0   
his of                            1   0   0   
his office                        0   0   1   
his prolonged                     1   0   0   
his relatives                     1   0   0   
his remarkable                    1   0   0   
his solid                         0   1   0   
his travels                       1   0   0   
his tweens                        1   0   0   
his woolly                        0   1   0   
his younger                       1   0   0   
his youngest                      1   0   0   
history and                       2   0   0   
hobbit and                        0   1   0   
hobbit as                         1   0   0   
hobbit bedrooms                   0   1   0   
hobbit i                          0   1   0   
hobbit not                        0   1   0   
hobbit the                        1   0   0   
hobbit was                        1   2   0   
hobbitlike about                  0   1   0   
hobbiton and                      1   0   0   
hobbiton bilbo                    1   0   0   
hobbiton should                   1   0   0   
hobbits called                    1   0   0   
hobbits have                      1   1   0   
hobbits need                      0   1   0   
hobbits of                        1   0   0   
hobbits were                      0   1   0   
hobbits who                       0   1   0   
hold with                         0   0   1   
hole filled                       0   1   0   
hole in                           0   1   0   
hole with                         0   1   0   
holman in                         1   0   0   
hopes of                          1   0   0   
hoping to                         0   0   1   
house he                          0   0   1   
how a                             0   1   0   
however had                       0   0   1   
huddle of                         0   0   1   
hummed as                         0   0   1   
husband were                      0   0   1   
hushed it                         0   1   0   
i have                            0   3   0   
i say                             1   0   0   
i suppose                         0   1   0   
i was                             0   1   0   
if anyone                         0   0   1   
if half                           1   0   0   
if he                             0   0   1   
if that                           1   0   0   
if the                            0   0   1   
if you                            0   1   0   
immovably by                      0   1   0   
important number                  1   0   0   
important telephone               0   0   1   
in a                              0   2   1   
in anything                       0   0   1   
in bright                         0   1   0   
in broad                          0   0   1   
in buckland                       1   0   0   
in cloaks                         0   0   1   
in daddy                          1   0   0   
in fact                           0   1   1   
in for                            0   1   0   
in funny                          0   0   1   
in his                            1   1   2   
in hobbiton                       2   0   0   
in it                             0   1   0   
in more                           1   0   0   
in number                         1   0   0   
in other                          0   1   0   
in sight                          0   0   1   
in the                            5   7   4   
in their                          0   0   1   
in very                           0   0   1   
in welcome                        1   0   0   
inclined to                       0   1   0   
including himself                 1   0   0   
indeed on                         0   1   0   
inexhaustible wealth              1   0   0   
ing past                          0   0   1   
inn on                            1   0   0   
into his                          0   0   2   
into the                          0   1   0   
involved in                       0   0   1   
irresponsible twenties            1   0   0   
is a                              0   2   0   
is as                             1   0   0   
is bilbo                          1   0   0   
is curly                          0   1   0   
is his                            1   0   0   
is little                         0   1   0   
is probable                       0   1   0   
is to                             0   1   0   
it again                          1   0   0   
it beats                          1   0   0   
it but                            1   0   0   
it first                          0   1   0   
it had                            0   1   0   
it harder                         0   0   1   
it i                              1   0   0   
it if                             0   0   1   
it is                             0   1   0   
it may                            1   0   0   
it must                           0   0   1   
it now                            0   1   0   
it seemed                         2   0   0   
it stared                         0   0   1   
it struck                         0   0   1   
it the                            0   0   1   
it they                           0   0   1   
it to                             0   1   0   
it up                             0   1   0   
it was                            2   2   3   
itself in                         1   0   0   
ivy bush                          1   0   0   
jam he                            0   0   1   
jerked his                        0   0   1   
job before                        1   0   0   
job was                           1   0   0   
joints the                        1   0   0   
just below                        1   0   0   
just described                    0   1   0   
just did                          0   0   1   
keeping the                       0   0   1   
kiss dudley                       0   0   1   
kitchens all                      0   1   0   
knew that                         0   0   1   
knob in                           0   1   0   
know enough                       0   1   0   
known as                          1   0   0   
lad said                          1   0   0   
large mustache                    0   0   1   
large order                       0   0   1   
large stupid                      0   1   0   
large tawny                       0   0   1   
last people                       0   0   1   
later dursley                     0   0   1   
laugh deep                        0   1   0   
laughs especially                 0   1   0   
leading authority                 1   0   0   
leathery soles                    0   1   0   
left the                          0   0   1   
legend and                        1   0   0   
legs and                          0   0   1   
less noise                        0   1   0   
light dursley                     0   0   1   
like a                            0   3   0   
like bilbo                        1   0   0   
like elephants                    0   1   0   
like that                         0   0   1   
like the                          0   1   0   
like you                          0   1   0   
little effect                     1   0   0   
little of                         0   1   0   
little or                         0   1   0   
little people                     0   1   0   
little round                      0   1   0   
little shake                      0   0   1   
little tyke                       0   0   1   
live at                           1   0   0   
live here                         1   0   0   
live in                           1   0   0   
live on                           1   0   0   
lived a                           0   1   0   
lived across                      0   1   0   
lived in                          0   1   0   
lived on                          1   0   0   
lively combined                   1   0   0   
lives with                        1   0   0   
living in                         0   1   0   
local legend                      1   0   0   
long ago                          0   2   0   
long clever                       0   1   0   
long wooden                       0   1   0   
look again                        0   0   1   
looked and                        0   1   0   
looking at                        0   0   1   
looking for                       1   0   0   
looking over                      0   1   0   
looks after                       1   0   0   
lost the                          0   1   0   
lot his                           0   0   1   
lot of                            0   0   1   
lots and                          0   1   0   
lots of                           0   2   0   
lunchtime when                    0   0   1   
luxurious for                     0   1   0   
made drills                       0   0   1   
made several                      0   0   1   
magic about                       0   1   0   
magnificence there                1   0   0   
mainly carried                    1   0   0   
making a                          0   1   0   
man had                           0   0   1   
man with                          0   0   1   
many devoted                      1   0   0   
many little                       0   1   0   
many miles                        0   1   0   
map for                           0   0   1   
map in                            0   0   1   
maps or                           0   0   1   
mark there                        1   0   0   
marvel at                         1   0   0   
matter of                         1   0   0   
may frodo                         1   0   0   
may have                          0   1   0   
me come                           0   1   0   
me why                            1   0   0   
meadows beyond                    0   1   0   
means comfort                     0   1   0   
meet very                         1   0   0   
members of                        0   1   0   
met for                           0   0   1   
middle the                        0   1   0   
might have                        0   0   1   
might say                         1   0   0   
mile off                          0   1   0   
miles round                       0   1   0   
mind and                          0   1   0   
mind as                           0   0   1   
mind back                         0   0   1   
mind by                           0   0   1   
minutes later                     0   0   1   
mirror it                         0   0   1   
missed because                    0   0   1   
mixing with                       0   0   1   
money most                        1   0   0   
money that                        0   1   0   
mood until                        0   0   1   
more attentive                    1   0   0   
more green                        0   1   0   
more he                           0   0   1   
more than                         2   0   0   
