						  t1  t2  t3
agin the old              1   0   0   
ago in the                0   1   0   
ago one of                0   1   0   
all his father            1   0   0   
all in the                1   0   0   
all on the                0   1   0   
all over the              1   0   1   
all the people            0   1   0   
all there is              0   1   0   
all were on               0   1   0   
all why that              0   0   1   
along making a            0   1   0   
also because they         0   1   0   
also had a                0   0   1   
also his prolonged        1   0   0   
although he did           0   0   1   
although he looked        0   1   0   
altogether unexpected he  0   1   0   
always said the           1   0   0   
always sat with           0   0   1   
among the hobbits         1   0   0   
amount of neck            0   0   1   
an adventure and          0   1   0   
an cloak the              0   0   1   
an enormous long          0   1   0   
an important number       1   0   0   
an oozy smell             0   1   0   
an owl even               0   0   1   
an unexpected party       0   1   0   
ancestors must have       0   1   0   
and a few                 0   0   1   
and a very                1   0   0   
and an oozy               0   1   0   
and as baggins            1   0   0   
and backed out            0   0   1   
and behaved exactly       0   1   0   
and bilbo baggins         0   1   0   
and blonde and            0   0   1   
and brought him           1   0   0   
and bywater and           1   0   0   
and carpeted provided     0   1   0   
and character of          1   0   0   
and comfortable father    0   1   0   
and coming of             1   0   0   
and consulting him        1   0   0   
and dursley gossiped      0   0   1   
and dursley of            0   0   1   
and dursley woke          0   0   1   
and excitement in         1   0   0   
and favourite was         1   0   0   
and floors tiled          0   1   0   
and found himself         0   1   0   
and frodo happened        1   0   0   
and frodo they            1   0   0   
and frodo was             1   0   0   
and gazed mouthed         0   0   1   
and had been              1   0   0   
and had helped            1   0   0   
and had nearly            0   0   1   
and have adventures       0   1   0   
and he had                1   0   0   
and he spoke              1   0   0   
and her husband           0   0   1   
and his eyes              0   0   1   
and his good              1   0   0   
and his name              0   1   0   
and i have                0   1   0   
and if that               1   0   0   
and in more               1   0   0   
and in their              0   0   1   
and indeed on             0   1   0   
and it was                1   0   0   
and laugh deep            0   1   0   
and live here             1   0   0   
and living in             0   1   0   
and lots and              0   1   0   
and lots of               0   1   0   
and many little           0   1   0   
and me come               0   1   0   
and meadows beyond        0   1   0   
and more green            0   1   0   
and mysterious things     0   0   1   
and on going              0   1   0   
and once in               0   1   0   
and other darker          1   0   0   
and partly with           0   1   0   
and people considered     0   1   0   
and prosperous and        0   1   0   
and put the               0   0   1   
and quickly when          0   1   0   
and right agin            1   0   0   
and rumour of             1   0   0   
and saying things         0   1   0   
and shouted a             0   0   1   
and shy of                0   1   0   
and smaller than          0   1   0   
and son were              1   0   0   
and stared at             0   0   1   
and stiff in              1   0   0   
and that means            0   1   0   
and that natural          1   0   0   
and the family            0   1   0   
and the hobbit            0   1   0   
and the hobbits           0   1   0   
and the hopes             1   0   0   
and the older             1   0   0   
and their greatest        0   0   1   
and then on               0   1   0   
and there they            0   1   0   
and they were             1   0   0   
and thick warm            0   1   0   
and thought this          1   0   0   
and throwing his          0   0   1   
and tried to              0   0   1   
and trouble will          1   0   0   
and unexpected return     1   0   0   
and unimportant families  1   0   0   
and up the                0   0   1   
and very peculiar         1   0   0   
and walk across           0   0   1   
and wearing an            0   0   1   
and yellow wear           0   1   0   
announced that he         1   0   0   
another good reason       0   0   1   
another no going          0   1   0   
any adventures after      0   1   0   
any adventures or         0   1   0   
any baggins of            1   0   0   
any neck although         0   0   1   
any question without      0   1   0   
any sort of               0   1   0   
anyone found out          0   0   1   
anyone should possess     1   0   0   
anything in the           0   1   0   
anything strange or       0   0   1   
anything unexpected you   0   1   0   
anywhere the dursleys     0   0   1   
apparently perpetual youth1   0   0   
apparently settled down   0   1   0   
are inclined to           0   1   0   
are or were               0   1   0   
are so no                 1   0   0   
around the corner         0   0   1   
around to look            0   0   1   
arrived in the            0   0   2   
arrived until bilbo       0   1   0   
as all the                0   1   0   
as always said            1   0   0   
as at fifty               1   0   0   
as baggins was            1   0   0   
as dursley drove          0   0   1   
as he drove               0   0   1   
as he left                0   0   1   
as he picked              0   0   1   
as he sat                 0   0   1   
as his heir               1   0   0   
as i was                  0   1   0   
as it may                 1   0   0   
as it was                 0   0   1   
as nice a                 1   0   0   
as owl after              0   0   1   
as reputedly inexhaustible1   0   0   
as respectable as         0   1   0   
as she spent              0   0   1   
as she wrestled           0   0   1   
as the bagginses          0   1   0   
as the gaffer             1   0   0   
as the hobbits            1   0   0   
as the leading            1   0   0   
as they call              0   1   0   
as undursleyish as        0   0   1   
as well as                1   0   0   
as you could              1   0   0   
asked old noakes          1   0   0   
asking him this           0   1   0   
at all why                0   0   1   
at bag end                4   0   0   
at fifty at               1   0   0   
at five different         0   0   1   
at half past              0   0   1   
at his door               0   1   0   
at nighttime dursley      0   0   1   
at ninety he              1   0   0   
at that time              1   0   0   
at the cat                0   0   1   
at the foot               0   1   0   
at the ivy                1   0   0   
at the sign               0   0   1   
at the walls              0   0   1   
at they began             1   0   0   
at time wore              1   0   0   
at twelve more            1   0   0   
attentive audience than   1   0   0   
audience than old         1   0   0   
authority by all          1   0   0   
authority for he          1   0   0   
autumn bilbo was          1   0   0   
away happily as           0   0   1   
away there in             1   0   0   
away they did             0   0   1   
back as dursley           0   0   1   
back from his             1   0   0   
back on drills            0   0   1   
back to the               0   0   1   
backed out of             0   0   1   
bad place if              1   0   0   
bag end and               1   0   0   
bag end announced         1   0   0   
bag end but               1   0   0   
bag end for               1   0   0   
bag end very              1   0   0   
bag end was               1   0   0   
baggins a decent          1   0   0   
baggins at ninety         1   0   0   
baggins became once       1   0   0   
baggins bungo that        0   1   0   
baggins had an            0   1   0   
baggins of bag            1   0   0   
baggins of hobbiton       1   0   0   
baggins that was          0   1   0   
baggins the bagginses     0   1   0   
baggins there was         1   0   0   
baggins was generous      1   0   0   
baggins was grown         0   1   0   
baggins was standing      0   1   0   
baggins when bilbo        1   0   0   
baggins would say         0   1   0   
bagginses had given       1   0   0   
bagginses had lived       0   1   0   
bagginses though they     0   1   0   
bagshot row just          1   0   0   
bare sandy hole           0   1   0   
bathrooms cellars pantries0   1   0   
be a lot                  0   0   1   
be a rather               1   0   0   
be an important           1   0   0   
be celebrating his        1   0   0   
be fat in                 0   1   0   
be found either           0   1   0   
be happening all          0   0   1   
be involved in            0   0   1   
be it the                 0   0   1   
be older than             0   0   1   
be paid for               1   0   0   
be prepared for           0   1   0   
be right dad              1   0   0   
be that as                1   0   0   
be the dursleys           0   0   1   
bear it if                0   0   1   
bear people who           0   0   1   
bearded dwarves hobbits   0   1   0   
beards there is           0   1   0   
beats me why              1   0   0   
beautiful built by        0   1   0   
became bungo baggins      0   1   0   
became once again         1   0   0   
because dudley was        0   0   1   
because her sister        0   0   1   
because most of           0   1   0   
because their feet        0   1   0   
because they just         0   0   1   
because they never        0   1   0   
become a local            1   0   0   
become rare and           0   1   0   
bedrooms bathrooms cellars0   1   0   
beefy man with            0   0   1   
been a trick              0   0   1   
been nearer the           1   0   0   
been the wonder           1   0   0   
been thinking of          0   0   1   
before of course          1   0   0   
before that now           1   0   0   
began to call             1   0   0   
began to grow             1   0   0   
began to wag              1   0   0   
behaved exactly like      0   1   0   
being about fifty         0   1   0   
being planned for         1   0   0   
believed whatever the     1   0   0   
belladonna took ever      0   1   0   
belladonna took one       0   1   0   
below bag end             1   0   0   
best rooms were           0   1   0   
better come and           1   0   0   
between childhood and     1   0   0   
beyond sloping down       0   1   0   
big beefy man             0   0   1   
big people as             0   1   0   
big river and             1   0   0   
bilbo and frodo           2   0   0   
bilbo and in              1   0   0   
bilbo as always           1   0   0   
bilbo baggins became      1   0   0   
bilbo baggins of          1   0   0   
bilbo baggins that        0   1   0   
bilbo baggins was         0   2   0   
bilbo her only            0   1   0   
bilbo one day             1   0   0   
bilbo was going           1   0   0   
bilbo was he              1   0   0   
bilbo was very            2   0   0   
birthday september had    1   0   0   
birthday with a           1   0   0   
bit more he               0   0   1   
bit queer in              0   1   0   
blinked and stared        0   0   1   
blonde and had            0   0   1   
blundering along making   0   1   0   
boats on that             1   0   0   
boring tie for            0   0   1   
both father and           1   0   0   
bother of asking          0   1   0   
boy anywhere the          0   0   1   
boy was another           0   0   1   
brandybuck they say       1   0   0   
brandybucks of buckland   1   0   0   
brandywine river and      1   0   0   
brass knob in             0   1   0   
breakfast smoking an      0   1   0   
breed seemingly they      1   0   0   
briefcase pecked dursley  0   0   1   
bright colours chiefly    0   1   0   
broad daylight though     0   0   1   
brought back from         1   0   0   
brought him to            1   0   0   
brown fingers faces       0   1   0   
brown hair like           0   1   0   
brushed gandalf came      0   1   0   
buckland live in          1   0   0   
buckland where folks      1   0   0   
built by his              0   1   0   
built the most            0   1   0   
bun from the              0   0   1   
bungo baggins bungo       0   1   0   
bungo that was            0   1   0   
bush a small              1   0   0   
but a queer               1   0   0   
but also because          0   1   0   
but be that               1   0   0   
but certainly there       0   1   0   
but he had                1   0   0   
but he well               0   1   0   
but hobbits have          1   0   0   
but it seemed             1   0   0   
but missed because        0   0   1   
but more than             1   0   0   
but not quite             0   1   0   
but now it                1   0   0   
but on the                0   0   1   
but so far                1   0   0   
but the fact              0   1   0   
but then it               0   0   1   
but there was             0   0   1   
but they also             0   0   1   
but they had              0   0   2   
but unchanged would       1   0   0   
buy himself a             0   0   1   
by all in                 1   0   0   
by gandalf if             0   1   0   
by his father             0   1   0   
by his youngest           1   0   0   
by some curious           0   1   0   
by something else         0   0   1   
by they were              0   0   1   
bywater and rumour        1   0   0   
bywater is his            1   0   0   
bywater road and          1   0   0   
call him but              1   0   0   
call us they              0   1   0   
called and many           0   1   0   
called dudley and         0   0   1   
called grunnings which    0   0   1   
called the irresponsible  1   0   0   
calling him and           1   0   0   
calls and shouted         0   0   1   
came by gandalf           0   1   0   
came in very              0   0   1   
came of it                1   0   0   
can celebrate our         1   0   0   
can get it                0   1   0   
can hear a                0   1   0   
car and backed            0   0   1   
carpeted provided with    0   1   0   
carried on by             1   0   0   
cat in his                0   0   1   
cat it stared             0   0   1   
cat out of                0   0   1   
cat reading a             0   0   1   
cat standing on           0   0   1   
cats could read           0   0   1   
celebrate our comfortably 1   0   0   
celebrating his birthday  1   0   0   
cellars pantries lots     0   1   0   
cereal at the             0   0   1   
certainly there was       0   1   0   
chair none of             0   0   1   
chairs and lots           0   1   0   
chance never arrived      0   1   0   
chance one morning        0   1   0   
chance to come            0   1   0   
character of bilbo        1   0   0   
cheek and tried           0   0   1   
chief topic of            1   0   0   
chiefly green and         0   1   0   
child like that           0   0   1   
childhood and coming      1   0   0   
chortled dursley as       0   0   1   
clever brown fingers      0   1   0   
cloak the nerve           0   0   1   
cloaks dursley could      0   0   1   
close by they             0   0   1   
close friends until       1   0   0   
clothes kitchens all      0   1   0   
clothes the getups        0   0   1   
cloudy sky outside        0   0   1   
collecting for something  0   0   1   
colours chiefly green     0   1   0   
combined at bag           1   0   0   
come and as               1   0   0   
come and live             1   0   0   
come blundering along     0   1   0   
come of it                1   0   0   
come out the              0   1   0   
comfort it had            0   1   0   
comfortable father got    0   1   0   
comfortable tunnel without0   1   0   
comfortably at that       1   0   0   
coming event travelled    1   0   0   
coming of age             1   0   0   
commonly known as         1   0   0   
concentrate on drills     0   0   1   
considered them very      0   1   0   
constantly upon the       1   0   0   
consulting him constantly 1   0   0   
conversation and the      1   0   0   
corner and up             0   0   1   
corner of privet          0   0   1   
corner of the             0   0   1   
could bear it             0   0   1   
could bear people         0   0   1   
could he have             0   0   1   
could help noticing       0   0   1   
could read maps           0   0   1   
could tell what           0   1   0   
could wish to             1   0   0   
country dursley hummed    0   0   1   
couple of them            0   0   1   
course absurd but         0   1   0   
course but hobbits        1   0   0   
course the and            1   0   0   
cousins began to          1   0   0   
craning over garden       0   0   1   
curious chance one        0   1   0   
curious number and        1   0   0   
curly have long           0   1   0   
dad said the              1   0   0   
daddy twofoot the         1   0   0   
dark bad place            1   0   0   
darker rumours before     1   0   0   
dashed bilbo and          1   0   0   
date of his               1   0   0   
daughters of the          0   1   0   
day but on                0   0   1   
day then we               1   0   0   
day when they             0   1   0   
daylight though people    0   0   1   
days still it             0   1   0   
decent respectable hobbit 1   0   0   
declared with perfect     1   0   0   
deep fruity laughs        0   1   0   
demand no one             1   0   0   
described for you         0   1   0   
description nowadays since0   1   0   
devoted admirers among    1   0   0   
devoted to clothes        0   1   0   
did anything unexpected   0   1   0   
did have a                0   0   2   
did hold with             0   0   1   
did realize what          0   0   1   
did see the               0   0   1   
did they pointed          0   0   1   
did want dudley           0   0   1   
different people he       0   0   1   
dinner which they         0   1   0   
director of a             0   0   1   
dirty wet hole            0   1   0   
disappear quietly and     0   1   0   
disappearance and unexpected1   0   0   
disappeared and the       0   1   0   
discover it they          0   0   1   
discreetly disappeared and0   1   0   
doing and saying          0   1   0   
door after breakfast      0   1   0   
door like a               0   1   0   
door opened on            0   1   0   
doors opened out          0   1   0   
down immovably by         0   1   0   
down in the               0   0   1   
down on or                0   1   0   
down to his               0   1   0   
down to the               0   1   0   
dress in bright           0   1   0   
dressed in funny          0   0   1   
dressed people about      0   0   1   
drills dursley always     0   0   1   
drills he was             0   0   2   
drills that morning       0   0   1   
drills were driven        0   0   1   
drive but there           0   0   1   
drive it was              0   0   1   
drive no looking          0   0   1   
drive were proud          0   0   1   
driven out of             0   0   1   
drogo baggins there       1   0   0   
drove around the          0   0   1   
drove toward town         0   0   1   
drummed his fingers       0   0   1   
dry bare sandy            0   1   0   
dudley and in             0   0   1   
dudley but missed         0   0   1   
dudley into his           0   0   1   
dudley mixing with        0   0   1   
dudley was now            0   0   1   
dull gray tuesday         0   0   1   
dursley always sat        0   0   1   
dursley arrived in        0   0   1   
dursley as he             0   0   1   
dursley blinked and       0   0   1   
dursley could bear        0   0   1   
dursley did realize       0   0   1   
dursley drove around      0   0   1   
dursley gave himself      0   0   1   
dursley gossiped away     0   0   1   
dursley however had       0   0   1   
dursley hummed as         0   0   1   
dursley of number         0   0   1   
dursley on the            0   0   1   
dursley picked up         0   0   1   
dursley pretended she     0   0   1   
dursley sister but        0   0   1   
dursley that this         0   0   1   
dursley was enraged       0   0   1   
dursley was the           0   0   1   
dursley was thin          0   0   1   
dursley woke up           0   0   1   
dursleys had a            0   0   1   
dursleys had everything   0   0   1   
dursleys knew that        0   0   1   
dursleys shuddered to     0   0   1   
dwarves hobbits have      0   1   0   
each year the             1   0   0   
eat it was                0   1   0   
edge of town              0   0   1   
edition of his            0   1   0   
effect on baggins         1   0   0   
eight dursley picked      0   0   1   
either under the          0   1   0   
eldest of these           1   0   0   
elephants which they      0   1   0   
else as he                0   0   1   
end and the               1   0   0   
end announced that        1   0   0   
end but now               1   0   0   
end for forty             1   0   0   
end of their              0   1   0   
end the mother            0   1   0   
end very nice             1   0   0   
end was full              1   0   0   
ends of worms             0   1   0   
enormous long wooden      0   1   0   
enough for fame           1   0   0   
enough to go              0   1   0   
enraged to see            0   0   1   
entirely hobbitlike about 0   1   0   
especially after dinner   0   1   0   
especially potatoes the   1   0   0   
even at nighttime         0   0   1   
even seen him             0   0   1   
event travelled all       1   0   0   
ever had any              0   1   0   
ever since his            1   0   0   
everyday sort which       0   1   0   
everything they wanted    0   0   1   
exact middle the          0   1   0   
exactly like a            0   1   0   
except a large            0   0   1   
except of course          1   0   0   
except the ordinary       0   1   0   
exceptional was being     1   0   0   
excitedly together dursley0   0   1   
excitement in hobbiton    1   0   0   
expect to be              0   0   1   
eyes fell on              0   0   1   
faces and laugh           0   1   0   
fact apparently settled   0   1   0   
fact dursley pretended    0   0   1   
fact remained that        0   1   0   
fairly but not            0   1   0   
fairy wife that           0   1   0   
fame there was            1   0   0   
families but he           1   0   0   
families that long        0   1   0   
family history and        1   0   0   
family hushed it          0   1   0   
famous belladonna took    0   1   0   
far trouble had           1   0   0   
fashion he drummed        0   0   1   
fat in the                0   1   0   
father and son            1   0   0   
father built the          0   1   0   
father got something      0   1   0   
father was a              1   0   0   
father which i            0   1   0   
favourite was young       1   0   0   
fear was that             0   0   1   
feet grow natural         0   1   0   
fell on a                 0   0   1   
fences spying on          0   0   1   
few minutes later         0   0   1   
fifty at they             1   0   0   
fifty years old           0   1   0   
filled with the           0   1   0   
finally dashed bilbo      1   0   0   
finer boy anywhere        0   0   1   
fingers faces and         0   1   0   
fingers on the            0   0   1   
firm called grunnings     0   0   1   
first on one              0   1   0   
first sign of             0   0   1   
five different people     0   0   1   
floor and indeed          0   1   0   
floor if he               0   0   1   
floors tiled and          0   1   0   
flutter past the          0   0   1   
folk like you             0   1   0   
folk might say            1   0   0   
folk suddenly found       1   0   0   
folks are so              1   0   0   
fond of visitors          0   1   0   
fool about with           1   0   0   
foot of the               0   1   0   
for a chance              0   1   0   
for a hobbit              1   0   0   
for a second              0   0   1   
for a wife                1   0   0   
for any sort              0   1   0   
for bilbo was             1   0   0   
for fame there            1   0   0   
for family history        1   0   0   
for forty years           1   0   0   
for hats and              0   1   0   
for he had                1   0   0   
for her and               0   1   0   
for keeping the           0   0   1   
for many miles            0   1   0   
for several years         0   0   1   
for sixty years           1   0   0   
for something yes         0   0   1   
for that autumn           1   0   0   
for the hobbit            0   1   0   
for these were            0   1   0   
for they said             1   0   0   
for time out              0   1   0   
for work and              0   0   1   
for you until             0   1   0   
forest a dark             1   0   0   
forest but a              1   0   0   
forgive him his           1   0   0   
forth at the              1   0   0   
fortune he remained       1   0   0   
forty years and           1   0   0   
found either under        0   1   0   
found himself doing       0   1   0   
found it harder           0   0   1   
found out about           0   0   1   
found their reminiscences 1   0   0   
four drive it             0   0   1   
four privet drive         0   0   1   
friendly terms with       1   0   0   
friends until some        1   0   0   
frodo as his              1   0   0   
frodo baggins when        1   0   0   
frodo happened to         1   0   0   
frodo is as               1   0   0   
frodo my lad              1   0   0   
frodo that lives          1   0   0   
frodo they lived          1   0   0   
frodo was going           1   0   0   
frodo was still           1   0   0   
from his travels          1   0   0   
from the bakery           0   0   1   
from the took             0   1   0   
fruity laughs especially  0   1   0   
full of tunnels           1   0   0   
funny clothes the         0   0   1   
gaffer declared with      1   0   0   
gaffer he held            1   0   0   
gaffer that the           1   0   0   
gaffer was recognized     1   0   0   
gained anything in        0   1   0   
gamgee both father        1   0   0   
gamgee commonly known     1   0   0   
gandalf came by           0   1   0   
gandalf if you            0   1   0   
garden and meadows        0   1   0   
garden at bag             1   0   0   
garden fences spying      0   0   1   
gave himself a            0   0   1   
gazed mouthed as          0   0   1   
generous with his         1   0   0   
gentlehobbit is bilbo     1   0   0   
get it now                0   1   0   
get that day              0   0   1   
getups you saw            0   0   1   
given very lively         1   0   0   
go and have               0   1   0   
go looking for            1   0   0   
go on with                0   1   0   
going fairly but          0   1   0   
going in for              0   1   0   
going to be               2   0   0   
going upstairs for        0   1   0   
good fortune he           1   0   0   
good mood until           0   0   1   
good reason for           0   0   1   
good thing it             1   0   0   
gossiped away happily     0   0   1   
got into his              0   0   1   
got something a           0   1   0   
gray tuesday our          0   0   1   
greatest fear was         0   0   1   
green and the             0   1   0   
green and yellow          0   1   0   
green with a              0   1   0   
ground there lived        0   1   0   
grow natural leathery     0   1   0   
grow up the               1   0   0   
growing of vegetables     1   0   0   
growing old and           1   0   0   
grown up being            0   1   0   
grunnings parking lot     0   0   1   
grunnings which made      0   0   1   
had a more                1   0   0   
had a perfectly           0   1   1   
had a secret              0   0   1   
had a small               0   0   2   
had an adventure          0   1   0   
had any adventures        0   2   0   
had been the              1   0   0   
had better come           1   0   0   
had brought back          1   0   0   
had everything they       0   0   1   
had given very            1   0   0   
had he might              0   0   1   
had heard only            0   1   0   
had heard this            1   0   0   
had helped old            1   0   0   
had in fact               0   1   0   
had lived in              0   1   0   
had many devoted          1   0   0   
had met for               0   0   1   
had nearly twice          0   0   1   
had never even            0   0   1   
had never seen            0   0   1   
had no close              1   0   0   
had not come              1   0   0   
had now become            1   0   0   
had only reached          1   0   0   
had seen then             0   0   1   
had tended the            1   0   0   
had to be                 0   0   1   
had whole rooms           0   1   0   
hair like the             0   1   0   
half a brandybuck         1   0   0   
half our height           0   1   0   
half past eight           0   0   1   
half the tales            1   0   0   
hall like a               0   1   0   
ham gamgee commonly       1   0   0   
happened to have          1   0   0   
happening all over        0   0   1   
happily as she            0   0   1   
harder to concentrate     0   0   1   
hardly any neck           0   0   1   
hats and the              0   1   0   
have a passion            1   0   0   
have a sister             0   0   1   
have a very               0   0   1   
have adventures they      0   1   0   
have become rare          0   1   0   
have been a               0   0   1   
have been nearer          1   0   0   
have been thinking        0   0   1   
have found it             0   0   1   
have heard about          0   1   0   
have just described       0   1   0   
have little effect        1   0   0   
have long clever          0   1   0   
have lost the             0   1   0   
have no beards            0   1   0   
have only heard           0   1   0   
have taken a              0   1   0   
have the same             1   0   0   
have to be                1   0   0   
have twice a              0   1   0   
have windows round        0   1   0   
having a tantrum          0   0   1   
he adopted frodo          1   0   0   
he could help             0   0   1   
he did have               0   0   1   
he did see                0   0   1   
he drove toward           0   0   1   
he drummed his            0   0   1   
he gained anything        0   1   0   
he got into               0   0   1   
he had brought            1   0   0   
he had he                 0   0   1   
he had in                 0   1   0   
he had many               1   0   0   
he had no                 1   0   0   
he had seen               0   0   1   
he had tended             1   0   0   
he had whole              0   1   0   
he have been              0   0   1   
he held forth             1   0   0   
he jerked his             0   0   1   
he left the               0   0   1   
he looked and             0   1   0   
he made several           0   0   1   
he may have               0   1   0   
he might have             0   0   1   
he noticed the            0   0   1   
he picked out             0   0   1   
he remained on            1   0   0   
he sat in                 0   0   1   
he spoke with             1   0   0   
he stretch his            0   0   1   
he supposed this          0   0   1   
he thought he             0   0   1   
he thought of             0   0   1   
he was a                  0   0   1   
he was and                0   0   1   
he was himself            1   0   0   
he was hoping             0   0   1   
he was in                 0   0   1   
he was much               1   0   0   
he was said               1   0   0   
he watched the            0   0   1   
he well you               0   1   0   
he would shortly          1   0   0   
he yelled at              0   0   1   
head around to            0   0   1   
head of the               0   1   0   
heads and thought         1   0   0   
heads which is            0   1   0   
hear a mile               0   1   0   
hear it again             1   0   0   
hear you would            0   1   0   
heard about him           0   1   0   
heard only a              0   1   0   
heard this and            1   0   0   
heard very little         0   1   0   
height and smaller        0   1   0   
heir and brought          1   0   0   
held forth at             1   0   0   
help noticing that        0   0   1   
helped old holman         1   0   0   
helps them to             0   1   0   
her and partly            0   1   0   
her husband were          0   0   1   
her money that            0   1   0   
her only son              0   1   0   
her sister and            0   0   1   
her time craning          0   0   1   
here frodo my             1   0   0   
high chair none           0   0   1   
hill as all               0   1   0   
hill at bag               1   0   0   
hill for time             0   1   0   
hill it was               0   1   0   
hill itself in            1   0   0   
hill or across            0   1   0   
hill or over              0   1   0   
him and consulting        1   0   0   
him and i                 0   1   0   
him asked old             1   0   0   
him but then              0   0   1   
him but unchanged         1   0   0   
him calling him           1   0   0   
him constantly upon       1   0   0   
him his oddities          1   0   0   
him this boy              0   0   1   
him this is               0   1   0   
him till he               1   0   0   
him to live               1   0   0   
himself a bun             0   0   1   
himself a little          0   0   1   
himself doing and         0   1   0   
himself growing old       1   0   0   
himself had only          1   0   0   
himself what about        1   0   0   
his back to               0   0   1   
his birthday with         1   0   0   
his briefcase pecked      0   0   1   
his car and               0   0   1   
his cereal at             0   0   1   
his door after            0   1   0   
his eyes fell             0   0   1   
his father was            1   0   0   
his father which          0   1   0   
his fingers on            0   0   1   
his from the              0   1   0   
his garden and            0   1   0   
his good fortune          1   0   0   
his head around           0   0   1   
his heir and              1   0   0   
his high chair            0   0   1   
his legs and              0   0   1   
his mind as               0   0   1   
his mind back             0   0   1   
his mind by               0   0   1   
his mirror it             0   0   1   
his money most            1   0   0   
his most boring           0   0   1   
his name but              1   0   0   
his name was              0   1   0   
his oddities and          1   0   0   
his of tongues            1   0   0   
his office on             0   0   1   
his prolonged vigour      1   0   0   
his relatives except      1   0   0   
his remarkable disappearance1   0   0   
his solid and             0   1   0   
his travels had           1   0   0   
his tweens as             1   0   0   
his woolly toes           0   1   0   
his younger cousins       1   0   0   
his youngest son          1   0   0   
history and character     1   0   0   
history and they          1   0   0   
hobbit and his            0   1   0   
hobbit as you             1   0   0   
hobbit bedrooms bathrooms 0   1   0   
hobbit i suppose          0   1   0   
hobbit not a              0   1   0   
hobbit the old            1   0   0   
hobbit was a              0   1   0   
hobbit was drogo          1   0   0   
hobbit was fond           0   1   0   
hobbitlike about them     0   1   0   
hobbiton and bywater      1   0   0   
hobbiton bilbo was        1   0   0   
hobbiton should go        1   0   0   
hobbits called the        1   0   0   
hobbits have a            1   0   0   
hobbits have no           0   1   0   
hobbits need some         0   1   0   
hobbits of poor           1   0   0   
hobbits were still        0   1   0   
hobbits who lived         0   1   0   
hold with such            0   0   1   
hole filled with          0   1   0   
hole in the               0   1   0   
hole with nothing         0   1   0   
holman in the             1   0   0   
hopes of the              1   0   0   
hoping to get             0   0   1   
house he got              0   0   1   
how a baggins             0   1   0   
however had a             0   0   1   
huddle of these           0   0   1   
hummed as he              0   0   1   
husband were as           0   0   1   
hushed it up              0   1   0   
i have heard              0   1   0   
i have just               0   1   0   
i have only               0   1   0   
i say but                 1   0   0   
i suppose hobbits         0   1   0   
i was saying              0   1   0   
if anyone found           0   0   1   
if half the               1   0   0   
if he had                 0   0   1   
if that was               1   0   0   
if the potters            0   0   1   
if you had                0   1   0   
immovably by some         0   1   0   
important number the      1   0   0   
important telephone calls 0   0   1   
in a hole                 0   1   0   
in a very                 0   0   1   
in a while                0   1   0   
in anything strange       0   0   1   
in bright colours         0   1   0   
in broad daylight         0   0   1   
in buckland where         1   0   0   
in cloaks dursley         0   0   1   
