								  t1  t2  t3
and meadows beyond                0   1   0   
and more                          0   1   0   
and more green                    0   1   0   
and mysterious                    0   0   1   
and mysterious things             0   0   1   
and on                            0   1   0   
and on going                      0   1   0   
and once                          0   1   0   
and once in                       0   1   0   
and other                         1   0   0   
and other darker                  1   0   0   
and partly                        0   1   0   
and partly with                   0   1   0   
and people                        0   1   0   
and people considered             0   1   0   
and prosperous                    0   1   0   
and prosperous and                0   1   0   
and put                           0   0   1   
and put the                       0   0   1   
and quickly                       0   1   0   
and quickly when                  0   1   0   
and right                         1   0   0   
and right agin                    1   0   0   
and rumour                        1   0   0   
and rumour of                     1   0   0   
and saying                        0   1   0   
and saying things                 0   1   0   
and shouted                       0   0   1   
and shouted a                     0   0   1   
and shy                           0   1   0   
and shy of                        0   1   0   
and smaller                       0   1   0   
and smaller than                  0   1   0   
and son                           1   0   0   
and son were                      1   0   0   
and stared                        0   0   1   
and stared at                     0   0   1   
and stiff                         1   0   0   
and stiff in                      1   0   0   
and that                          1   1   0   
and that means                    0   1   0   
and that natural                  1   0   0   
and the                           2   3   0   
and the family                    0   1   0   
and the hobbit                    0   1   0   
and the hobbits                   0   1   0   
and the hopes                     1   0   0   
and the older                     1   0   0   
and their                         0   0   1   
and their greatest                0   0   1   
and then                          0   1   0   
and then on                       0   1   0   
and there                         0   1   0   
and there they                    0   1   0   
and they                          1   0   0   
and they were                     1   0   0   
and thick                         0   1   0   
and thick warm                    0   1   0   
and thought                       1   0   0   
and thought this                  1   0   0   
and throwing                      0   0   1   
and throwing his                  0   0   1   
and tried                         0   0   1   
and tried to                      0   0   1   
and trouble                       1   0   0   
and trouble will                  1   0   0   
and unexpected                    1   0   0   
and unexpected return             1   0   0   
and unimportant                   1   0   0   
and unimportant families          1   0   0   
and up                            0   0   1   
and up the                        0   0   1   
and very                          1   0   0   
and very peculiar                 1   0   0   
and walk                          0   0   1   
and walk across                   0   0   1   
and wearing                       0   0   1   
and wearing an                    0   0   1   
and yellow                        0   1   0   
and yellow wear                   0   1   0   
announced                         1   0   0   
announced that                    1   0   0   
announced that he                 1   0   0   
another                           0   1   1   
another good                      0   0   1   
another good reason               0   0   1   
another no                        0   1   0   
another no going                  0   1   0   
any                               1   4   1   
any adventures                    0   2   0   
any adventures after              0   1   0   
any adventures or                 0   1   0   
any baggins                       1   0   0   
any baggins of                    1   0   0   
any neck                          0   0   1   
any neck although                 0   0   1   
any question                      0   1   0   
any question without              0   1   0   
any sort                          0   1   0   
any sort of                       0   1   0   
anyone                            1   0   1   
anyone found                      0   0   1   
anyone found out                  0   0   1   
anyone should                     1   0   0   
anyone should possess             1   0   0   
anything                          0   2   1   
anything in                       0   1   0   
anything in the                   0   1   0   
anything strange                  0   0   1   
anything strange or               0   0   1   
anything unexpected               0   1   0   
anything unexpected you           0   1   0   
anywhere                          0   0   1   
anywhere the                      0   0   1   
anywhere the dursleys             0   0   1   
apparently                        1   1   0   
apparently perpetual              1   0   0   
apparently perpetual youth        1   0   0   
apparently settled                0   1   0   
apparently settled down           0   1   0   
are                               1   2   0   
are inclined                      0   1   0   
are inclined to                   0   1   0   
are or                            0   1   0   
are or were                       0   1   0   
are so                            1   0   0   
are so no                         1   0   0   
around                            0   0   2   
around the                        0   0   1   
around the corner                 0   0   1   
around to                         0   0   1   
around to look                    0   0   1   
arrived                           0   1   2   
arrived in                        0   0   2   
arrived in the                    0   0   2   
arrived until                     0   1   0   
arrived until bilbo               0   1   0   
as                                12  5   10  
as all                            0   1   0   
as all the                        0   1   0   
as always                         1   0   0   
as always said                    1   0   0   
as at                             1   0   0   
as at fifty                       1   0   0   
as baggins                        1   0   0   
as baggins was                    1   0   0   
as dursley                        0   0   1   
as dursley drove                  0   0   1   
as he                             0   0   4   
as he drove                       0   0   1   
as he left                        0   0   1   
as he picked                      0   0   1   
as he sat                         0   0   1   
as his                            1   0   0   
as his heir                       1   0   0   
as i                              0   1   0   
as i was                          0   1   0   
as it                             1   0   1   
as it may                         1   0   0   
as it was                         0   0   1   
as nice                           1   0   0   
as nice a                         1   0   0   
as owl                            0   0   1   
as owl after                      0   0   1   
as reputedly                      1   0   0   
as reputedly inexhaustible        1   0   0   
as respectable                    0   1   0   
as respectable as                 0   1   0   
as she                            0   0   2   
as she spent                      0   0   1   
as she wrestled                   0   0   1   
as the                            3   1   0   
as the bagginses                  0   1   0   
as the gaffer                     1   0   0   
as the hobbits                    1   0   0   
as the leading                    1   0   0   
as they                           0   1   0   
as they call                      0   1   0   
as undursleyish                   0   0   1   
as undursleyish as                0   0   1   
as well                           1   0   0   
as well as                        1   0   0   
as you                            1   0   0   
as you could                      1   0   0   
asked                             1   0   0   
asked old                         1   0   0   
asked old noakes                  1   0   0   
asking                            0   1   0   
asking him                        0   1   0   
asking him this                   0   1   0   
at                                11  2   7   
at all                            0   0   1   
at all why                        0   0   1   
at bag                            4   0   0   
at bag end                        4   0   0   
at fifty                          1   0   0   
at fifty at                       1   0   0   
at five                           0   0   1   
at five different                 0   0   1   
at half                           0   0   1   
at half past                      0   0   1   
at his                            0   1   0   
at his door                       0   1   0   
at nighttime                      0   0   1   
at nighttime dursley              0   0   1   
at ninety                         1   0   0   
at ninety he                      1   0   0   
at that                           1   0   0   
at that time                      1   0   0   
at the                            1   1   3   
at the cat                        0   0   1   
at the foot                       0   1   0   
at the ivy                        1   0   0   
at the sign                       0   0   1   
at the walls                      0   0   1   
at they                           1   0   0   
at they began                     1   0   0   
at time                           1   0   0   
at time wore                      1   0   0   
at twelve                         1   0   0   
at twelve more                    1   0   0   
attentive                         1   0   0   
attentive audience                1   0   0   
attentive audience than           1   0   0   
audience                          1   0   0   
audience than                     1   0   0   
audience than old                 1   0   0   
authority                         2   0   0   
authority by                      1   0   0   
authority by all                  1   0   0   
authority for                     1   0   0   
authority for he                  1   0   0   
autumn                            1   0   0   
autumn bilbo                      1   0   0   
autumn bilbo was                  1   0   0   
away                              1   0   2   
away happily                      0   0   1   
away happily as                   0   0   1   
away there                        1   0   0   
away there in                     1   0   0   
away they                         0   0   1   
away they did                     0   0   1   
back                              1   0   3   
back as                           0   0   1   
back as dursley                   0   0   1   
back from                         1   0   0   
back from his                     1   0   0   
back on                           0   0   1   
back on drills                    0   0   1   
back to                           0   0   1   
back to the                       0   0   1   
backed                            0   0   1   
backed out                        0   0   1   
backed out of                     0   0   1   
bad                               1   0   0   
bad place                         1   0   0   
bad place if                      1   0   0   
bag                               6   0   0   
bag end                           6   0   0   
bag end and                       1   0   0   
bag end announced                 1   0   0   
bag end but                       1   0   0   
bag end for                       1   0   0   
bag end very                      1   0   0   
bag end was                       1   0   0   
baggins                           8   7   0   
baggins a                         1   0   0   
baggins a decent                  1   0   0   
baggins at                        1   0   0   
baggins at ninety                 1   0   0   
baggins became                    1   0   0   
baggins became once               1   0   0   
baggins bungo                     0   1   0   
baggins bungo that                0   1   0   
baggins had                       0   1   0   
baggins had an                    0   1   0   
baggins of                        2   0   0   
baggins of bag                    1   0   0   
baggins of hobbiton               1   0   0   
baggins that                      0   1   0   
baggins that was                  0   1   0   
baggins the                       0   1   0   
baggins the bagginses             0   1   0   
baggins there                     1   0   0   
baggins there was                 1   0   0   
baggins was                       1   2   0   
baggins was generous              1   0   0   
baggins was grown                 0   1   0   
baggins was standing              0   1   0   
baggins when                      1   0   0   
baggins when bilbo                1   0   0   
baggins would                     0   1   0   
baggins would say                 0   1   0   
bagginses                         1   2   0   
bagginses had                     1   1   0   
bagginses had given               1   0   0   
bagginses had lived               0   1   0   
bagginses though                  0   1   0   
bagginses though they             0   1   0   
bagshot                           1   0   0   
bagshot row                       1   0   0   
bagshot row just                  1   0   0   
bakery                            0   0   1   
bare                              0   1   0   
bare sandy                        0   1   0   
bare sandy hole                   0   1   0   
bathrooms                         0   1   0   
bathrooms cellars                 0   1   0   
bathrooms cellars pantries        0   1   0   
be                                6   3   6   
be a                              1   0   1   
be a lot                          0   0   1   
be a rather                       1   0   0   
be an                             1   0   0   
be an important                   1   0   0   
be celebrating                    1   0   0   
be celebrating his                1   0   0   
be fat                            0   1   0   
be fat in                         0   1   0   
be found                          0   1   0   
be found either                   0   1   0   
be happening                      0   0   1   
be happening all                  0   0   1   
be involved                       0   0   1   
be involved in                    0   0   1   
be it                             0   0   1   
be it the                         0   0   1   
be older                          0   0   1   
be older than                     0   0   1   
be paid                           1   0   0   
be paid for                       1   0   0   
be prepared                       0   1   0   
be prepared for                   0   1   0   
be right                          1   0   0   
be right dad                      1   0   0   
be that                           1   0   0   
be that as                        1   0   0   
be the                            0   0   1   
be the dursleys                   0   0   1   
bear                              0   0   2   
bear it                           0   0   1   
bear it if                        0   0   1   
bear people                       0   0   1   
bear people who                   0   0   1   
bearded                           0   1   0   
bearded dwarves                   0   1   0   
bearded dwarves hobbits           0   1   0   
beards                            0   1   0   
beards there                      0   1   0   
beards there is                   0   1   0   
beats                             1   0   0   
beats me                          1   0   0   
beats me why                      1   0   0   
beautiful                         0   1   0   
beautiful built                   0   1   0   
beautiful built by                0   1   0   
became                            1   1   0   
became bungo                      0   1   0   
became bungo baggins              0   1   0   
became once                       1   0   0   
became once again                 1   0   0   
because                           0   3   3   
because dudley                    0   0   1   
because dudley was                0   0   1   
because her                       0   0   1   
because her sister                0   0   1   
because most                      0   1   0   
because most of                   0   1   0   
because their                     0   1   0   
because their feet                0   1   0   
because they                      0   1   1   
because they just                 0   0   1   
because they never                0   1   0   
become                            1   1   0   
become a                          1   0   0   
become a local                    1   0   0   
become rare                       0   1   0   
become rare and                   0   1   0   
bedrooms                          0   1   0   
bedrooms bathrooms                0   1   0   
bedrooms bathrooms cellars        0   1   0   
beefy                             0   0   1   
beefy man                         0   0   1   
beefy man with                    0   0   1   
been                              2   0   2   
been a                            0   0   1   
been a trick                      0   0   1   
been nearer                       1   0   0   
been nearer the                   1   0   0   
been the                          1   0   0   
been the wonder                   1   0   0   
been thinking                     0   0   1   
been thinking of                  0   0   1   
before                            2   0   0   
before of                         1   0   0   
before of course                  1   0   0   
before that                       1   0   0   
before that now                   1   0   0   
began                             3   0   0   
began to                          3   0   0   
began to call                     1   0   0   
began to grow                     1   0   0   
began to wag                      1   0   0   
behaved                           0   1   0   
behaved exactly                   0   1   0   
behaved exactly like              0   1   0   
being                             1   1   0   
being about                       0   1   0   
being about fifty                 0   1   0   
being planned                     1   0   0   
being planned for                 1   0   0   
believed                          1   0   0   
believed whatever                 1   0   0   
believed whatever the             1   0   0   
belladonna                        0   2   0   
belladonna took                   0   2   0   
belladonna took ever              0   1   0   
belladonna took one               0   1   0   
below                             1   0   0   
below bag                         1   0   0   
below bag end                     1   0   0   
best                              0   1   0   
best rooms                        0   1   0   
best rooms were                   0   1   0   
better                            1   0   0   
better come                       1   0   0   
better come and                   1   0   0   
between                           1   0   0   
between childhood                 1   0   0   
between childhood and             1   0   0   
beyond                            0   1   0   
beyond sloping                    0   1   0   
beyond sloping down               0   1   0   
big                               1   1   1   
big beefy                         0   0   1   
big beefy man                     0   0   1   
big people                        0   1   0   
big people as                     0   1   0   
big river                         1   0   0   
big river and                     1   0   0   
bilbo                             11  4   0   
bilbo and                         3   0   0   
bilbo and frodo                   2   0   0   
bilbo and in                      1   0   0   
bilbo as                          1   0   0   
bilbo as always                   1   0   0   
bilbo baggins                     2   3   0   
bilbo baggins became              1   0   0   
bilbo baggins of                  1   0   0   
bilbo baggins that                0   1   0   
bilbo baggins was                 0   2   0   
bilbo her                         0   1   0   
bilbo her only                    0   1   0   
bilbo one                         1   0   0   
bilbo one day                     1   0   0   
bilbo was                         4   0   0   
bilbo was going                   1   0   0   
bilbo was he                      1   0   0   
bilbo was very                    2   0   0   
birthday                          2   0   0   
birthday september                1   0   0   
birthday september had            1   0   0   
birthday with                     1   0   0   
birthday with a                   1   0   0   
bit                               0   1   1   
bit more                          0   0   1   
bit more he                       0   0   1   
bit queer                         0   1   0   
bit queer in                      0   1   0   
blinked                           0   0   1   
blinked and                       0   0   1   
blinked and stared                0   0   1   
blonde                            0   0   1   
blonde and                        0   0   1   
blonde and had                    0   0   1   
blundering                        0   1   0   
blundering along                  0   1   0   
blundering along making           0   1   0   
boats                             1   0   0   
boats on                          1   0   0   
boats on that                     1   0   0   
boring                            0   0   1   
boring tie                        0   0   1   
boring tie for                    0   0   1   
both                              1   0   0   
both father                       1   0   0   
both father and                   1   0   0   
bother                            0   1   0   
bother of                         0   1   0   
bother of asking                  0   1   0   
boy                               0   0   2   
boy anywhere                      0   0   1   
boy anywhere the                  0   0   1   
boy was                           0   0   1   
boy was another                   0   0   1   
brandybuck                        1   0   0   
brandybuck they                   1   0   0   
brandybuck they say               1   0   0   
brandybucks                       1   0   0   
brandybucks of                    1   0   0   
brandybucks of buckland           1   0   0   
brandywine                        1   0   0   
brandywine river                  1   0   0   
brandywine river and              1   0   0   
brass                             0   1   0   
brass knob                        0   1   0   
brass knob in                     0   1   0   
breakfast                         0   1   0   
breakfast smoking                 0   1   0   
breakfast smoking an              0   1   0   
breed                             1   0   0   
breed seemingly                   1   0   0   
breed seemingly they              1   0   0   
briefcase                         0   0   1   
briefcase pecked                  0   0   1   
briefcase pecked dursley          0   0   1   
bright                            0   1   0   
bright colours                    0   1   0   
bright colours chiefly            0   1   0   
broad                             0   0   1   
broad daylight                    0   0   1   
broad daylight though             0   0   1   
brought                           2   0   0   
brought back                      1   0   0   
brought back from                 1   0   0   
brought him                       1   0   0   
brought him to                    1   0   0   
brown                             0   2   0   
brown fingers                     0   1   0   
brown fingers faces               0   1   0   
brown hair                        0   1   0   
brown hair like                   0   1   0   
brushed                           0   1   0   
brushed gandalf                   0   1   0   
brushed gandalf came              0   1   0   
buckland                          2   0   0   
buckland live                     1   0   0   
buckland live in                  1   0   0   
buckland where                    1   0   0   
buckland where folks              1   0   0   
built                             0   2   0   
built by                          0   1   0   
built by his                      0   1   0   
built the                         0   1   0   
built the most                    0   1   0   
bun                               0   0   1   
bun from                          0   0   1   
bun from the                      0   0   1   
bungo                             0   2   0   
bungo baggins                     0   1   0   
bungo baggins bungo               0   1   0   
bungo that                        0   1   0   
bungo that was                    0   1   0   
bush                              1   0   0   
bush a                            1   0   0   
bush a small                      1   0   0   
but                               9   5   7   
but a                             1   0   0   
but a queer                       1   0   0   
but also                          0   1   0   
but also because                  0   1   0   
but be                            1   0   0   
but be that                       1   0   0   
but certainly                     0   1   0   
but certainly there               0   1   0   
but he                            1   1   0   
but he had                        1   0   0   
but he well                       0   1   0   
but hobbits                       1   0   0   
but hobbits have                  1   0   0   
but it                            1   0   0   
but it seemed                     1   0   0   
but missed                        0   0   1   
but missed because                0   0   1   
but more                          1   0   0   
but more than                     1   0   0   
but not                           0   1   0   
but not quite                     0   1   0   
but now                           1   0   0   
but now it                        1   0   0   
but on                            0   0   1   
but on the                        0   0   1   
but so                            1   0   0   
but so far                        1   0   0   
but the                           0   1   0   
but the fact                      0   1   0   
but then                          0   0   1   
but then it                       0   0   1   
but there                         0   0   1   
but there was                     0   0   1   
but they                          0   0   3   
but they also                     0   0   1   
but they had                      0   0   2   
but unchanged                     1   0   0   
